Loading configuration : configs/config-2.4.txt
Reading file
Created Node 0: 1 interf.s, ctr code: cnss.lib.EndSystemControl app code: FT20ClientSR_DT
Created Node 1: 1 interf.s, ctr code: cnss.lib.EndSystemControl app code: FT20Server
Added link to node 0 - Link (Node1:0 I1:0)<-->(Node2:1 I2:0) bwd: 2000000 bps lat: 20 ms error: 0.15 jit: 0.1 up
Added link to node 1 - Link (Node1:0 I1:0)<-->(Node2:1 I2:0) bwd: 2000000 bps lat: 20 ms error: 0.15 jit: 0.1 up

simulation starts - first processing step with clock = 0

log: FT20-ClienteSR-DT time 0 node 0 SENDING: UPLOAD<earth.jpg, 0>
log:    FT20-Server time 20 node 1 GOT: UPLOAD<earth.jpg, 0>
log:    FT20-Server time 439 node 1 GOT: DATA<29, 415, len: 1000>
log:    FT20-Server time 439 node 1 SENDING: ACK<24, 29, 415>
log:    FT20-Server time 443 node 1 GOT: DATA<30, 419, len: 1000>
log:    FT20-Server time 443 node 1 SENDING: ACK<24, 30, 419>
log:    FT20-Server time 447 node 1 GOT: DATA<31, 423, len: 1000>
log:    FT20-Server time 447 node 1 SENDING: ACK<24, 31, 423>
log: FT20-ClienteSR-DT time 451 node 0 GOT: ACK<24, 27, 407>
log:    FT20-Server time 451 node 1 GOT: DATA<22, 424, len: 1000>
log:    FT20-Server time 451 node 1 SENDING: ACK<24, -1, 424>
log: FT20-ClienteSR-DT time 455 node 0 GOT: ACK<24, 28, 411>
log:    FT20-Server time 455 node 1 GOT: DATA<23, 426, len: 1000>
log:    FT20-Server time 455 node 1 SENDING: ACK<24, -1, 426>
log:    FT20-Server time 459 node 1 GOT: DATA<32, 427, len: 1000>
log:    FT20-Server time 459 node 1 SENDING: ACK<24, 32, 427>
log: FT20-ClienteSR-DT time 463 node 0 GOT: ACK<24, 30, 419>
log:    FT20-Server time 463 node 1 GOT: DATA<24, 428, len: 1000>
log:    FT20-Server time 463 node 1 SENDING: ACK<24, -1, 428>
log: FT20-ClienteSR-DT time 467 node 0 GOT: ACK<24, 31, 423>
log:    FT20-Server time 467 node 1 GOT: DATA<25, 430, len: 1000>
log:    FT20-Server time 467 node 1 SENDING: ACK<25, 25, 430>
log: FT20-ClienteSR-DT time 471 node 0 GOT: ACK<24, -1, 424>
log:    FT20-Server time 471 node 1 GOT: DATA<33, 431, len: 1000>
log:    FT20-Server time 471 node 1 SENDING: ACK<25, 33, 431>
log: FT20-ClienteSR-DT time 473 node 0 TIMEOUT...
log: FT20-ClienteSR-DT time 473 node 0 SENDING: DATA<29, 473, len: 1000>
log: FT20-ClienteSR-DT time 475 node 0 GOT: ACK<24, -1, 426>
log:    FT20-Server time 475 node 1 GOT: DATA<34, 435, len: 1000>
log:    FT20-Server time 475 node 1 SENDING: ACK<25, 34, 435>
log: FT20-ClienteSR-DT time 487 node 0 GOT: ACK<25, 25, 430>
log: FT20-ClienteSR-DT time 487 node 0 SENDING: DATA<35, 487, len: 1000>
log: FT20-ClienteSR-DT time 491 node 0 GOT: ACK<25, 33, 431>
log: FT20-ClienteSR-DT time 491 node 0 TIMEOUT...
log: FT20-ClienteSR-DT time 491 node 0 SENDING: DATA<32, 491, len: 1000>
log: FT20-ClienteSR-DT time 493 node 0 TIMEOUT...
log: FT20-ClienteSR-DT time 493 node 0 SENDING: DATA<26, 493, len: 1000>
log: FT20-ClienteSR-DT time 495 node 0 GOT: ACK<25, 34, 435>
log:    FT20-Server time 497 node 1 GOT: DATA<29, 473, len: 1000>
log:    FT20-Server time 497 node 1 SENDING: ACK<25, 29, 473>
log:    FT20-Server time 511 node 1 GOT: DATA<35, 487, len: 1000>
log:    FT20-Server time 511 node 1 SENDING: ACK<25, 35, 487>
log:    FT20-Server time 515 node 1 GOT: DATA<32, 491, len: 1000>
log:    FT20-Server time 515 node 1 SENDING: ACK<25, 32, 491>
log: FT20-ClienteSR-DT time 517 node 0 GOT: ACK<25, 29, 473>
log: FT20-ClienteSR-DT time 531 node 0 GOT: ACK<25, 35, 487>
log: FT20-ClienteSR-DT time 535 node 0 GOT: ACK<25, 32, 491>
log: FT20-ClienteSR-DT time 552 node 0 TIMEOUT...
log: FT20-ClienteSR-DT time 552 node 0 SENDING: DATA<26, 552, len: 1000>
log:    FT20-Server time 576 node 1 GOT: DATA<26, 552, len: 1000>
log:    FT20-Server time 576 node 1 SENDING: ACK<35, 26, 552>
log: FT20-ClienteSR-DT time 596 node 0 GOT: ACK<35, 26, 552>
log: FT20-ClienteSR-DT time 596 node 0 SENDING: DATA<36, 596, len: 1000>
log: FT20-ClienteSR-DT time 597 node 0 SENDING: DATA<37, 597, len: 1000>
log: FT20-ClienteSR-DT time 598 node 0 SENDING: DATA<38, 598, len: 1000>
log: FT20-ClienteSR-DT time 599 node 0 SENDING: DATA<39, 599, len: 1000>
log: FT20-ClienteSR-DT time 600 node 0 SENDING: DATA<40, 600, len: 1000>
log: FT20-ClienteSR-DT time 601 node 0 SENDING: DATA<41, 601, len: 1000>
log: FT20-ClienteSR-DT time 602 node 0 SENDING: DATA<42, 602, len: 1000>
log: FT20-ClienteSR-DT time 603 node 0 SENDING: DATA<43, 603, len: 1000>
log: FT20-ClienteSR-DT time 604 node 0 SENDING: DATA<44, 604, len: 1000>
log: FT20-ClienteSR-DT time 605 node 0 SENDING: DATA<45, 605, len: 1000>
log:    FT20-Server time 620 node 1 GOT: DATA<36, 596, len: 1000>
log:    FT20-Server time 620 node 1 SENDING: ACK<36, 36, 596>
log:    FT20-Server time 624 node 1 GOT: DATA<37, 597, len: 1000>
log:    FT20-Server time 624 node 1 SENDING: ACK<37, 37, 597>
log:    FT20-Server time 628 node 1 GOT: DATA<38, 598, len: 1000>
log:    FT20-Server time 628 node 1 SENDING: ACK<38, 38, 598>
log:    FT20-Server time 632 node 1 GOT: DATA<39, 599, len: 1000>
log:    FT20-Server time 632 node 1 SENDING: ACK<39, 39, 599>
log:    FT20-Server time 636 node 1 GOT: DATA<40, 600, len: 1000>
log:    FT20-Server time 636 node 1 SENDING: ACK<40, 40, 600>
log: FT20-ClienteSR-DT time 640 node 0 GOT: ACK<36, 36, 596>
log: FT20-ClienteSR-DT time 640 node 0 SENDING: DATA<46, 640, len: 1000>
log:    FT20-Server time 640 node 1 GOT: DATA<41, 601, len: 1000>
log:    FT20-Server time 640 node 1 SENDING: ACK<41, 41, 601>
log:    FT20-Server time 644 node 1 GOT: DATA<44, 604, len: 1000>
log:    FT20-Server time 644 node 1 SENDING: ACK<41, 44, 604>
log: FT20-ClienteSR-DT time 648 node 0 GOT: ACK<38, 38, 598>
log: FT20-ClienteSR-DT time 648 node 0 SENDING: DATA<47, 648, len: 1000>
log:    FT20-Server time 648 node 1 GOT: DATA<45, 605, len: 1000>
log:    FT20-Server time 648 node 1 SENDING: ACK<41, 45, 605>
log: FT20-ClienteSR-DT time 649 node 0 SENDING: DATA<48, 649, len: 1000>
log: FT20-ClienteSR-DT time 650 node 0 TIMEOUT...
log: FT20-ClienteSR-DT time 650 node 0 SENDING: DATA<39, 650, len: 1000>
log: FT20-ClienteSR-DT time 652 node 0 GOT: ACK<39, 39, 599>
log: FT20-ClienteSR-DT time 652 node 0 TIMEOUT...
log: FT20-ClienteSR-DT time 652 node 0 SENDING: DATA<40, 652, len: 1000>
log: FT20-ClienteSR-DT time 653 node 0 SENDING: DATA<49, 653, len: 1000>
log: FT20-ClienteSR-DT time 654 node 0 TIMEOUT...
log: FT20-ClienteSR-DT time 654 node 0 SENDING: DATA<41, 654, len: 1000>
log: FT20-ClienteSR-DT time 656 node 0 GOT: ACK<40, 40, 600>
log: FT20-ClienteSR-DT time 656 node 0 TIMEOUT...
log: FT20-ClienteSR-DT time 656 node 0 SENDING: DATA<42, 656, len: 1000>
