Loading configuration : configs/config-2.3.txt
Reading file
Created Node 0: 1 interf.s, ctr code: cnss.lib.EndSystemControl app code: FT20ClientSR
Created Node 1: 1 interf.s, ctr code: cnss.lib.EndSystemControl app code: FT20Server
Added link to node 0 - Link (Node1:0 I1:0)<-->(Node2:1 I2:0) bwd: 2000000 bps lat: 20 ms error: 0.15 jit: 0.0 up
Added link to node 1 - Link (Node1:0 I1:0)<-->(Node2:1 I2:0) bwd: 2000000 bps lat: 20 ms error: 0.15 jit: 0.0 up

simulation starts - first processing step with clock = 0

log: FT20-ClienteSR time 0 node 0 SENDING: UPLOAD<earth.jpg, 0>
log:    FT20-Server time 20 node 1 GOT: UPLOAD<earth.jpg, 0>
log: FT20-ClienteSR time 3330 node 0 GOT: ACK<46, 50, 3278>
log: FT20-ClienteSR time 3338 node 0 GOT: ACK<46, 52, 3280>
log: FT20-ClienteSR time 3342 node 0 GOT: ACK<46, 53, 3281>
log:    FT20-Server time 3342 node 1 GOT: DATA<56, 3318, len: 1000>
log:    FT20-Server time 3342 node 1 SENDING: ACK<46, 56, 3318>
log: FT20-ClienteSR time 3346 node 0 GOT: ACK<46, 54, 3282>
log: FT20-ClienteSR time 3362 node 0 GOT: ACK<46, 56, 3318>
log: FT20-ClienteSR time 4276 node 0 TIMEOUT...
log: FT20-ClienteSR time 4276 node 0 SENDING: DATA<47, 4276, len: 1000>
log: FT20-ClienteSR time 4278 node 0 TIMEOUT...
log: FT20-ClienteSR time 4278 node 0 SENDING: DATA<48, 4278, len: 1000>
log: FT20-ClienteSR time 4282 node 0 TIMEOUT...
log: FT20-ClienteSR time 4282 node 0 SENDING: DATA<51, 4282, len: 1000>
log: FT20-ClienteSR time 4287 node 0 TIMEOUT...
log: FT20-ClienteSR time 4287 node 0 SENDING: DATA<55, 4287, len: 1000>
log:    FT20-Server time 4302 node 1 GOT: DATA<48, 4278, len: 1000>
log:    FT20-Server time 4302 node 1 SENDING: ACK<46, 48, 4278>
log:    FT20-Server time 4306 node 1 GOT: DATA<51, 4282, len: 1000>
log:    FT20-Server time 4306 node 1 SENDING: ACK<46, 51, 4282>
log:    FT20-Server time 4311 node 1 GOT: DATA<55, 4287, len: 1000>
log:    FT20-Server time 4311 node 1 SENDING: ACK<46, 55, 4287>
log: FT20-ClienteSR time 4322 node 0 GOT: ACK<46, 48, 4278>
log: FT20-ClienteSR time 4326 node 0 GOT: ACK<46, 51, 4282>
log: FT20-ClienteSR time 4331 node 0 GOT: ACK<46, 55, 4287>
log: FT20-ClienteSR time 5277 node 0 TIMEOUT...
log: FT20-ClienteSR time 5277 node 0 SENDING: DATA<47, 5277, len: 1000>
log:    FT20-Server time 5301 node 1 GOT: DATA<47, 5277, len: 1000>
log:    FT20-Server time 5301 node 1 SENDING: ACK<56, 47, 5277>
log: FT20-ClienteSR time 5321 node 0 GOT: ACK<56, 47, 5277>
log: FT20-ClienteSR time 5321 node 0 SENDING: DATA<57, 5321, len: 1000>
log: FT20-ClienteSR time 5322 node 0 SENDING: DATA<58, 5322, len: 1000>
log: FT20-ClienteSR time 5323 node 0 SENDING: DATA<59, 5323, len: 1000>
log: FT20-ClienteSR time 5324 node 0 SENDING: DATA<60, 5324, len: 1000>
log: FT20-ClienteSR time 5325 node 0 SENDING: DATA<61, 5325, len: 1000>
log: FT20-ClienteSR time 5326 node 0 SENDING: DATA<62, 5326, len: 1000>
log: FT20-ClienteSR time 5327 node 0 SENDING: DATA<63, 5327, len: 1000>
log: FT20-ClienteSR time 5328 node 0 SENDING: DATA<64, 5328, len: 1000>
log: FT20-ClienteSR time 5329 node 0 SENDING: DATA<65, 5329, len: 1000>
log:    FT20-Server time 5345 node 1 GOT: DATA<57, 5321, len: 1000>
log:    FT20-Server time 5345 node 1 SENDING: ACK<57, 57, 5321>
log:    FT20-Server time 5349 node 1 GOT: DATA<58, 5322, len: 1000>
log:    FT20-Server time 5349 node 1 SENDING: ACK<58, 58, 5322>
log:    FT20-Server time 5353 node 1 GOT: DATA<59, 5323, len: 1000>
log:    FT20-Server time 5353 node 1 SENDING: ACK<59, 59, 5323>
log:    FT20-Server time 5357 node 1 GOT: DATA<60, 5324, len: 1000>
